name	type	units	sampling_frequency	status
Fp1	EEG	uV	1024	good
AF7	EEG	uV	1024	good
AF3	EEG	uV	1024	good
F1	EEG	uV	1024	good
F3	EEG	uV	1024	good
F5	EEG	uV	1024	bad
F7	EEG	uV	1024	good
FT7	EEG	uV	1024	good
FC5	EEG	uV	1024	good
FC3	EEG	uV	1024	good
FC1	EEG	uV	1024	good
C1	EEG	uV	1024	good
C3	EEG	uV	1024	good
C5	EEG	uV	1024	good
T7	EEG	uV	1024	good
TP7	EEG	uV	1024	bad
CP5	EEG	uV	1024	good
CP3	EEG	uV	1024	good
CP1	EEG	uV	1024	good
P1	EEG	uV	1024	good
P3	EEG	uV	1024	good
P5	EEG	uV	1024	bad
P7	EEG	uV	1024	bad
P9	EEG	uV	1024	bad
PO7	EEG	uV	1024	bad
PO3	EEG	uV	1024	good
O1	EEG	uV	1024	good
Iz	EEG	uV	1024	good
Oz	EEG	uV	1024	good
POz	EEG	uV	1024	good
Pz	EEG	uV	1024	good
CPz	EEG	uV	1024	good
Fpz	EEG	uV	1024	good
Fp2	EEG	uV	1024	good
AF8	EEG	uV	1024	good
AF4	EEG	uV	1024	good
AFz	EEG	uV	1024	good
Fz	EEG	uV	1024	good
F2	EEG	uV	1024	good
F4	EEG	uV	1024	good
F6	EEG	uV	1024	good
F8	EEG	uV	1024	good
FT8	EEG	uV	1024	good
FC6	EEG	uV	1024	good
FC4	EEG	uV	1024	good
FC2	EEG	uV	1024	good
FCz	EEG	uV	1024	good
Cz	EEG	uV	1024	good
C2	EEG	uV	1024	good
C4	EEG	uV	1024	good
C6	EEG	uV	1024	good
T8	EEG	uV	1024	good
TP8	EEG	uV	1024	good
CP6	EEG	uV	1024	good
CP4	EEG	uV	1024	good
CP2	EEG	uV	1024	good
P2	EEG	uV	1024	good
P4	EEG	uV	1024	good
P6	EEG	uV	1024	good
P8	EEG	uV	1024	good
P10	EEG	uV	1024	good
PO8	EEG	uV	1024	good
PO4	EEG	uV	1024	good
O2	EEG	uV	1024	good
